id,question,skill,choice1,choice2,choice3,choice4,correct_choice,explanation1,explanation2,explanation3,explanation4,category,status
19710,Who was the disciple of Jesus that betrayed him for 30 pieces of silver?,medium,Simon Peter,Judas Iscariot,John the Baptist,"James, son of Zebedee",2,"Simon Peter was one of the closest disciples of Jesus, but he did not betray him.",Judas Iscariot was the one who betrayed Jesus for 30 pieces of silver.,John the Baptist was a prophet who baptized Jesus.,"James, son of Zebedee was one of the twelve apostles and the brother of John the Apostle.",New Testament Characters,checked 03-06-2023
19711,Who was the father of John the Baptist?,medium,Zacharias,Simeon,Zechariah,Ezekiel,1,Zacharias was the father of John the Baptist. He was a priest of the Abijah division and married to Elizabeth.,Simeon was a devout man who received Jesus as an infant in the temple. He gave the famous prophecy that Jesus would be a light to the Gentiles.,Zechariah was a prophet who wrote the book named after him. He prophesied about the coming of the Messiah.,Ezekiel was a prophet who wrote the book named after him. He prophesied about the exile of Israel in Babylon.,New Testament Characters,checked 03-06-2023
19712,Who was the disciple who betrayed Jesus for thirty pieces of silver?,medium,Peter,John,Judas,Thomas,3,Peter denied Jesus three times,John was a beloved disciple of Jesus,Judas betrayed Jesus and gave him a kiss to identify him to the soldiers,Thomas was known as 'Doubting Thomas',New Testament Characters,checked 03-06-2023
19713,Who was the physician and traveling companion of the apostle Paul?,medium,Timothy,Barnabas,Luke,Silas,3,"Incorrect, Timothy was another companion of Paul but not a physician.","Incorrect, Barnabas was a companion of Paul, but not a physician.",Correct! Luke was a physician and a traveling companion of the apostle Paul.,"Incorrect, Silas was a companion of Paul but not a physician.",New Testament Characters,checked 03-06-2023
19714,Which New Testament character was a former tax collector?,medium,John the Baptist,Mark the Evangelist,Matthew the Apostle,Luke the Evangelist,3,"John the Baptist was not a tax collector, he was a prophet who baptized Jesus.","Mark the Evangelist was not a tax collector, he was one of the four gospel writers.",Matthew the Apostle was a former tax collector before he became one of Jesus' disciples.,"Luke the Evangelist was not a tax collector, he was one of the four gospel writers.",New Testament Characters,checked 03-06-2023
19715,Which New Testament character was nicknamed ‘Doubting Thomas’?,medium,John,Peter,Thomas,Matthew,3,John was the beloved disciple,Peter was the disciple who denied Jesus three times,Thomas was skeptical of Jesus' resurrection and wanted physical proof,Matthew was a former tax collector who became one of Jesus' disciples,New Testament Characters,checked 03-06-2023
19716,Who is often referred to as the beloved disciple in the New Testament?,medium,Peter,Paul,John,Mark,3,"Peter was a disciple of Jesus, but he was not referred to as the beloved disciple.","Paul was an apostle, but he was not referred to as the beloved disciple.",Correct! John is often referred to as the beloved disciple in the New Testament.,"Mark was a disciple of Jesus, but he was not referred to as the beloved disciple.",New Testament Characters,checked 03-06-2023
19717,Who was the apostle who betrayed Jesus to the authorities for money?,medium,Peter,Andrew,Judas Iscariot,John,3,Peter was one of Jesus' closest disciples and was often mentioned in the Bible.,Andrew was Peter's brother and one of Jesus' apostles.,Judas Iscariot was one of Jesus' twelve apostles and is known for betraying Jesus to the authorities for thirty pieces of silver.,John was one of Jesus' closest disciples and is known as the author of the Gospel of John.,New Testament Characters,checked 03-06-2023
19718,Which New Testament character was a tax collector before becoming a disciple of Jesus? ,medium,Peter,John,Matthew,James,3,Peter and John were fishermen.,John was the brother of James and they were both fishermen.,Matthew was a tax collector before becoming a disciple of Jesus.,James was the son of Zebedee and a fisherman.,New Testament Characters,checked 03-06-2023
19719,"In what year was the Council of Nicea held, which played a crucial role in defining the doctrine of the Trinity?",medium,325 AD,367 AD,431 AD,451 AD,1,The Council of Nicea was held in the year 325 AD.,The year 367 AD is not associated with the Council of Nicea.,The Council of Ephesus was held in the year 431 AD.,The Council of Chalcedon was held in the year 451 AD.,Key Christian Events,checked 03-06-2023
19720,"What event marks the beginning of the Christian Church, when the Holy Spirit descended upon the apostles of Jesus after his ascension?",medium,Transfiguration,Pentecost,Passover,Easter Sunday,2,"Sorry, that's incorrect. The Transfiguration is the event where Jesus' appearance is transformed in front of his disciples.","Correct! Pentecost is the event where the Holy Spirit came down to the apostles who were gathered in a room, ten days after Jesus ascended into heaven.","Sorry, that's incorrect. Passover is a Jewish holiday that celebrates the liberation of the Israelites from slavery in ancient Egypt.","Sorry, that's incorrect. Easter Sunday is the day when Christians celebrate the resurrection of Jesus Christ.",Key Christian Events,checked 03-06-2023
19721,Which event is known as the birth of the Church in Christian history?,medium,The Last Supper,The Transfiguration,The Resurrection,The Day of Pentecost,4,This event marks the last meal that Jesus shared with his disciples before his crucifixion.,This event marks Jesus' appearance to three of his disciples in a glorified state.,This event marks the resurrection of Jesus from the dead after his crucifixion.,This event marks the descent of the Holy Spirit upon the apostles and the beginning of the Christian Church.,Key Christian Events,checked 03-06-2023
19722,In what year did Emperor Constantine convert to Christianity?,medium,313 AD,325 AD,337 AD,381 AD,1,"In 313 AD, Emperor Constantine issued the Edict of Milan, which gave Christians the freedom to worship openly and without fear of persecution.","The year 325 was the date of the Council of Nicaea, which was a meeting of Christian bishops convened by the Emperor Constantine to resolve theological disputes.","In 337 AD, Constantine's son Constantius II became emperor and continued his father's policies of supporting Christianity. ","The year 381 AD was the date of the Council of Constantinople, which was a meeting of Christian bishops that resulted in the Nicene Creed.",Key Christian Events,checked 03-06-2023
19723,Which Christian event commemorates the descent of the Holy Spirit upon the apostles and other followers of Jesus while they were in Jerusalem?,medium,Easter Sunday,Pentecost,Christmas,Ascension Day,2,Easter Sunday celebrates the resurrection of Jesus from the dead.,Pentecost marks the beginning of the Christian church and is celebrated 50 days after Easter Sunday.,Christmas commemorates the birth of Jesus.,Ascension Day is celebrated 40 days after Easter Sunday and commemorates Jesus ascending into heaven.,Key Christian Events,checked 03-06-2023
19724,What was the significance of the Council of Nicaea in 325 AD?,medium,To establish the divinity of Jesus and address the Arian heresy,To determine which books would be included in the New Testament,To establish the doctrine of the Trinity,To address the issue of clerical celibacy,1,"The Council of Nicaea was convened by Emperor Constantine to address the Arian heresy, which denied the divinity of Jesus.",The canon of the New Testament was not formalized until the late 4th century.,"The doctrine of the Trinity was an important theological development, but it was not officially established until later councils.",The issue of clerical celibacy was not a major concern until centuries later.,Key Christian Events,checked 03-06-2023
19725,What is the name of the day that commemorates the crucifixion of Jesus Christ?,medium,Christmas Day,Ash Wednesday,Good Friday,Easter Sunday,3,Christmas Day celebrates the birth of Jesus Christ.,"Ash Wednesday marks the beginning of Lent, a period of fasting and repentance in preparation for Easter.",Good Friday is the day on which Christians commemorate the crucifixion of Jesus Christ.,Easter Sunday celebrates the resurrection of Jesus Christ from the dead.,Key Christian Events,checked 03-06-2023
19726,Which event marks the birth of Jesus Christ and is celebrated on December 25 every year?,medium,Easter,Pentecost,Christmas,Palm Sunday,3,Easter marks the resurrection of Jesus Christ,Pentecost marks the descent of the Holy Spirit upon the Apostles,Christmas marks the birth of Jesus Christ which is celebrated on December 25th every year,Palm Sunday marks the beginning of Holy Week and commemorates Jesus' entry into Jerusalem,Key Christian Events,checked 03-06-2023
19727,In what year did the Council of Nicaea take place?,medium,325 AD,500 AD,732 AD,1066 AD,1,This was the year in which the first great council of the Christian church was held.,"This date is much too late for the Council of Nicaea, which took place in the fourth century AD.","This date is much too late for the Council of Nicaea, which took place in the fourth century AD.","This date is much too late for the Council of Nicaea, which took place in the fourth century AD.",Key Christian Events,checked 03-06-2023
19728,"What is the name of the major religious feast that commemorates the descent of the Holy Spirit upon the Apostles and other followers of Jesus Christ, as described in the New Testament?",medium,Easter Sunday,Pentecost,Advent,Epiphany,2,Incorrect. Easter Sunday celebrates the resurrection of Jesus Christ from the dead.,Correct! Pentecost is when the Holy Spirit first descended upon the Apostles and they began to preach the Gospel.,Incorrect. Advent is the period preceding Christmas during which Christians prepare for the birth of Jesus Christ.,"Incorrect. Epiphany celebrates the visit of the Magi, or Wise Men, to the infant Jesus.",Key Christian Events,checked 03-06-2023
19729,"In which book of the Bible can you find the quote 'For everything there is a season, and a time for every matter under heaven'?",medium,Psalms,Proverbs,Ecclesiastes,Song of Solomon,3,"This is a book of praise and worship, and contains many well-known songs and poems.","This book contains collections of wise sayings and teachings on various topics, including wisdom, morality, and the nature of God.","This book consists of reflections on the meaning of life and the human condition, including the inevitability of death and the search for lasting happiness.","This book is a love poem that celebrates the sensual and emotional aspects of human love, often using metaphor and symbolism to convey its message.",Books of the Bible,checked 03-06-2023
19730,In which book of the Bible does the story of Samson appear?,medium,Judges,Ecclesiastes,Esther,Hosea,1,"Samson's story is told in the book of Judges, chapters 13-16",Ecclesiastes is a book of wisdom literature comprising reflections on the meaning of life and the nature of existence,Esther is a book about the Jewish queen of Persia who saves her people from destruction,Hosea is a prophetic book that warns Israel and Judah to return to God,Books of the Bible,checked 03-06-2023
19731,In which book of the Bible does God appear to Job in a whirlwind?,medium,Psalms,Job,Ecclesiastes,Proverbs,2,"Incorrect. Psalms is a book of poems and songs, but it does not feature the story of Job.","Correct! God appears to Job in a whirlwind in the book of Job, which explores the nature of suffering and the character of God.","Incorrect. Ecclesiastes is a book of wisdom literature that asks profound questions about the meaning of life, but it does not include the story of Job.","Incorrect. Proverbs is a book of wisdom literature that offers practical advice on many topics, but it does not include the story of Job.",Books of the Bible,checked 03-06-2023
19732,Which book of the Bible includes the story of Esther and her role in saving the Jewish people from destruction?,medium,Leviticus,Esther,Judges,Ecclesiastes,2,Leviticus focuses on laws and rituals for sacrifice and worship.,Esther tells the story of a Jewish exile who becomes queen and saves her people from destruction.,Judges introduces various leaders and their role in Israel's history.,Ecclesiastes explores the meaning of life and the fleeting nature of wealth and pleasure.,Books of the Bible,checked 03-06-2023
19733,Which book of the Bible is attributed to the authorship of Moses?,medium,Exodus,Leviticus,Deuteronomy,Numbers,3,Exodus is attributed to Moses as well as Leviticus and Numbers.,Leviticus is attributed to Moses as well as Exodus and Numbers.,Deuteronomy is attributed to Moses as well as Exodus and Numbers.,Numbers is attributed to Moses as well as Exodus and Leviticus.,Books of the Bible,checked 03-06-2023
19734,In which book of the Bible does the story of Noah and the ark appear?,medium,Genesis,Exodus,Leviticus,Numbers,1,Correct! Genesis tells the story of Noah and the flood.,Incorrect. Exodus is the second book of the Bible and is mostly about the Israelites' escape from slavery in Egypt.,Incorrect. Leviticus is the third book of the Bible and focuses mainly on laws and rituals for the Israelite community.,Incorrect. Numbers is the fourth book of the Bible and describes the Israelites' journeys in the wilderness.,Books of the Bible,checked 03-06-2023
19735,Which book of the Bible contains the famous story of Jonah and the whale?,medium,Leviticus,Jonah,Revelation,Psalms,2,Leviticus is a book of laws and rituals for the Levites and priests.,The book of Jonah is about a prophet who is swallowed by a large fish and preaches repentance to the people of Nineveh.,Revelation is a book of prophecy about the end times.,Psalms is a book of poetry and hymns attributed to various authors.,Books of the Bible,checked 03-06-2023
19736,"In the New Testament, which book tells the story of Saul's conversion to Christianity on the Road to Damascus?",medium,Matthew,Acts,Romans,1 Corinthians,2,"Matthew gives an account of the birth, baptism, and ministry of Jesus Christ, but not Saul's conversion.","The book of Acts, primarily written by Luke, tells the story of the early Christian church, including Saul's conversion in chapter 9.","Romans is a letter written by Paul to the Christians in Rome, but it does not detail Saul's conversion.","1 Corinthians is a letter written by Paul to the Christians in Corinth, but it does not detail Saul's conversion.",Books of the Bible,checked 03-06-2023
19737,"In the parable of the Good Samaritan, who passed by the man that was beaten and robbed on the road?",medium,A Levite,A Pharisee,A Priest,None of the above,1,The Levite saw the beaten man on the side of the road but passed him by and did not offer to help.,The Pharisee did not appear in the parable.,The Priest saw the beaten man on the side of the road but passed him by and did not offer to help.,The correct answer is A Levite. ,Parables of Jesus,checked 03-06-2023
19738,What is the meaning of the parable of the mustard seed?,medium,A small seed can grow into a big tree with many branches,A little bit of faith can move mountains,A person's true worth is not determined by their outer appearance,Everyone deserves a second chance,1,The parable of the mustard seed teaches us that a small and insignificant beginning can lead to great things and that the Kingdom of God will continue to grow.,This answer is incorrect. It is actually a different parable that teaches the power of faith.,This answer is incorrect. It is actually a different parable that teaches that we should not judge others by their appearance.,This answer is incorrect. It is actually a different parable about forgiveness.,Parables of Jesus,checked 03-06-2023
19739,What is the meaning of the parable of the prodigal son?,medium,It teaches about the importance of forgiveness.,It teaches about the dangers of greed.,It teaches about the benefits of hard work.,It teaches about the rewards of honesty.,1,"The parable of the prodigal son is a story that Jesus told to teach about the importance of forgiveness. In the parable, a son who had left his family and squandered his inheritance returns home, and his father forgives and welcomes him with open arms.","Although greed and materialism are common themes in the Bible, they are not the focus of the parable of the prodigal son.",The parable does not emphasize the benefits of hard work or the consequences of laziness.,"While honesty is an important virtue, it is not the subject of the parable of the prodigal son.",Parables of Jesus,checked 03-06-2023
19740,"In the parable of the Good Samaritan, which two people pass by the injured man before the Samaritan helps him?",medium,A priest and a Levite,Two robbers,A Pharisee and a Sadducee,A beggar and a blind man,1,"In the parable of the Good Samaritan, a Jewish man is robbed and left for dead on the side of the road. Both a priest and a Levite pass by the man without helping him.",The two people who passed by the injured man before the Good Samaritan helped him were a priest and a Levite.,A Pharisee and a Sadducee are not mentioned in the parable of the Good Samaritan.,A beggar and a blind man are not relevant to the parable of the Good Samaritan.,Parables of Jesus,checked 03-06-2023
19741,"In the parable of the sower, what happened to the seed that fell on the thorns?",medium,It grew but was choked by the thorns,It was eaten by the birds,It grew and produced a bountiful yield,It didn't grow at all,1,"The seed that fell on thorns grew, but was choked by the thorns and didn't produce a crop.",This happened to the seed that fell on the path.,This happened to the seed that fell on good soil.,This didn't happen in the parable.,Parables of Jesus,checked 03-06-2023
19742,"In the parable of the sower, what do the seeds that fell on the thorny ground represent?",medium,"People who hear the word, but the worries of this life and the deceitfulness of wealth choke it, making it unfruitful","People who hear the word, but they fall away when they face persecution or hardship","People who hear the word, but the devil comes and takes it away from their hearts","People who hear the word and understand it, and produce a crop, yielding a hundred, sixty or thirty times what was sown",1,"Jesus explained that the seed that fell among the thorns represents those who hear the word, but the worries of this life and the deceitfulness of wealth choke it, making it unfruitful. (Matthew 13:22)",This choice pertains to the seeds that fell on rocky ground in the parable. (Matthew 13:20-21),This choice pertains to the seeds that fell along the path in the parable. (Matthew 13:19),This choice pertains to the seeds that fell on good soil in the parable. (Matthew 13:23),Parables of Jesus,checked 03-06-2023
19743,"In the parable of the Good Samaritan, what did the Samaritan use to treat the wounded man's injuries?",medium,Oil and wine,Bandages and ointments,Water and soap,A first aid kit,1,The Samaritan poured oil and wine on the man's wounds to clean and disinfect them.,Bandages and ointments were not specifically mentioned in the parable.,Water and soap were not specifically mentioned in the parable.,A first aid kit was not specifically mentioned in the parable.,Parables of Jesus,checked 03-06-2023
19744,What parable did Jesus tell about a farmer who scattered seeds on different types of soil?,medium,The Parable of the Sower,The Parable of the Wheat and Weeds,The Parable of the Mustard Seed,The Parable of the Ten Virgins,1,The Parable of the Sower is about a farmer who scattered seeds on different types of soil.,"The Parable of the Wheat and Weeds is about a farmer who sowed good seed in his field, but an enemy came and sowed weeds among the wheat.",The Parable of the Mustard Seed is about a tiny mustard seed that grows into a huge tree.,The Parable of the Ten Virgins is about ten girls who went to meet a bridegroom and five of them brought extra oil for their lamps.,Parables of Jesus,checked 03-06-2023
19745,What is the meaning behind the Parable of the Good Samaritan?,medium,One should avoid helping people who are in trouble.,Only people who share your beliefs should be helped.,"One should help anyone in need, regardless of any differences.",Helping others only leads to trouble.,3,This goes against the lesson of the parable.,The parable does not mention anything about religion or beliefs.,"The Parable of the Good Samaritan teaches that we should help anyone in need, regardless of race, religion, or any other differences.",Helping others is considered a virtue in most cultures.,Parables of Jesus,checked 03-06-2023
19746,"In the parable of the sower, where did some of the seed fall according to Jesus?",medium,On the path where the birds ate it up,On rocky soil where it withered away,"Among thorns, which choked it","On good soil, where it produced a crop",4,"This choice is correct, according to the parable, the seed that fell on the path was eaten up by birds.","This choice is incorrect, according to the parable, the seed that fell on rocky soil withered away because it did not have enough soil for the roots to grow.","This choice is incorrect, according to the parable, the seed that fell among thorns was choked because of the plants that grew up and crowded it out.","This choice is correct, according to the parable, the seed that fell on good soil produced a crop.",Parables of Jesus,checked 03-06-2023
19747,What was the name of the prophet who went to heaven in a chariot of fire?,medium,Isaiah,Jeremiah,Elijah,Elisha,3,"Isaiah was a prophet, but he did not go to heaven in a chariot of fire.","Jeremiah was a prophet, but he did not go to heaven in a chariot of fire.",Elijah is the prophet who went to heaven in a chariot of fire.,"Elisha was a prophet, but he did not go to heaven in a chariot of fire.",Bible Miracles,checked 03-06-2023
19748,"What was the first miracle performed by Jesus, according to the Gospel of John?",medium,Turning water into wine at the wedding in Cana,Walking on water,Healing a paralyzed man,Feeding the 5000,1,"In John 2:1-11, Jesus turns water into wine at a wedding in Cana, which is considered to be the first miracle he performed.","Although Jesus did walk on water according to the Gospels, this was not his first miracle.","Jesus did heal a paralyzed man according to the Gospels, but this was not his first miracle.","Jesus did feed the 5000 according to the Gospels, but this was not his first miracle.",Bible Miracles,checked 03-06-2023
19749,Which miracle did Jesus perform in John 9 where he healed a man who was blind from birth?,medium,Jesus healed a man with leprosy,Jesus fed 5000 people with five loaves and two fishes,Jesus turned water into wine,Jesus healed the blind man with mud and saliva,4,This is incorrect as Jesus did heal someone with leprosy but it was not this specific miracle.,This is incorrect as Jesus did feed 5000 people with five loaves and two fishes but it was not this specific miracle.,This is incorrect as Jesus did turn water into wine but it was not this specific miracle.,"This is correct as Jesus spat on the ground, made mud with the saliva and put it on the man's eyes, then instructed him to wash in the Pool of Siloam and the man's sight was restored.",Bible Miracles,checked 03-06-2023
19750,"In the Bible, which miracle did Jesus perform that involved feeding 5,000 people with just 5 loaves of bread and 2 fish?",medium,Healing of the blind man,Turning water into wine,Walking on water,"Feeding of the 5,000",4,"This event happened separately from the healing of the blind man, and involved a large crowd of people who had followed Jesus to a remote location.","Jesus turned water into wine at a wedding feast in Cana, but this was a different miracle.","Jesus did walk on water to meet his disciples in a boat, but this miracle did not involve feeding anyone.","Correct! This miracle involved feeding a large crowd with a small amount of food, demonstrating Jesus' power and compassion.",Bible Miracles,checked 03-06-2023
19751,Which miracle did Elisha perform at Jericho in the Bible?,medium,Healing of the King's Son,Feeding of the 5000,Turning water into wine,Healing of Naaman's leprosy,4,"This miracle was performed by Jesus in the New Testament, not by Elisha in the Old Testament.","This miracle was performed by Jesus in the New Testament, not by Elisha in the Old Testament.","This miracle was performed by Jesus in the New Testament, not by Elisha in the Old Testament.",Elisha healed Naaman's leprosy by instructing him to wash himself in the Jordan River seven times.,Bible Miracles,checked 03-06-2023
19752,"When Moses raised his hand over the Red Sea, what did God do?",medium,God sent a strong wind that blew the waters away,God parted the waters and created a dry path,God caused an earthquake that split the ground and allowed the Israelites to cross,God spoke to the waters and they obeyed him,2,"This is not correct. Although God can send strong winds, this is not what happened in this particular miracle.",Correct! This is the miracle that God performed when Moses raised his hand over the Red Sea. God parted the waters and created a dry path for the Israelites to cross.,"This is not correct. Although God can cause earthquakes, this is not what happened in this particular miracle.","This is not correct. Although God can speak to the waters, this is not what happened in this particular miracle.",Bible Miracles,checked 03-06-2023
19753,Which biblical miracle involved a man being able to walk on water?,medium,Healing of the Blind Man,Feeding of the 5000,Raising Lazarus from the Dead,Jesus Walks on Water,4,This miracle involved Jesus restoring the sight of a man who was born blind.,This miracle involved Jesus feeding a large crowd of people with only five loaves of bread and two fish.,This miracle involved Jesus raising a man from the dead after he had been buried for four days.,This miracle involved Jesus walking on water to reach his disciples who were in a boat during a storm.,Bible Miracles,checked 03-06-2023
19754,Which of the following is NOT a miracle performed by Jesus in the Bible?,medium,Turning water into wine at the wedding in Cana,"Feeding a crowd of 5,000 people with five loaves of bread and two fish",Walking on water to reach his disciples on a boat,Parting the Red Sea to lead the Israelites to safety,4,"Jesus' first miracle was turning water into wine at a wedding in Cana, as described in John 2:1-11.","One of Jesus' most famous miracles was feeding a crowd of 5,000 people with only five loaves of bread and two fish, as described in Matthew 14:13-21.","Jesus famously walked on water to reach his disciples on a boat in the Sea of Galilee, as described in Matthew 14:22-33.","The miracle of parting the Red Sea was performed by Moses, not Jesus, as described in Exodus 14:21-22.",Bible Miracles,checked 03-06-2023
19755,Which prophet parted the river Jordan by touching its waters with his cloak?,medium,Elijah,Isaiah,Jeremiah,Elisha,4,Elijah was a prophet who was taken up to heaven in a whirlwind.,Isaiah was a prophet who served during the reign of King Uzziah.,Jeremiah was a prophet who prophesied during the time of the Babylonian exile.,"Elisha was a prophet who succeeded Elijah and performed many miracles, including parting the Jordan River.",Bible Miracles,checked 03-06-2023
19756,What miracle did Jesus perform when he fed 5000 men with five loaves of bread and two fish?,medium,He made the food multiply,He turned stones into bread,He bought more food from a nearby village,He asked the people to share their own food,1,Jesus made the food multiply miraculously to feed the large crowd,Jesus did not turn stones into bread in this particular miracle,There was no nearby village to buy more food from,The people did not have enough food to share among themselves,Bible Miracles,checked 03-06-2023
19757,Who led the Israelites out of Egypt?,medium,Joshua,Moses,Aaron,Jacob,2,Joshua was a leader in the conquest of Canaan after Moses' death,Moses led the Israelites out of Egypt,Aaron was Moses' brother and helped him lead the Israelites but did not lead them out of Egypt,"Jacob was the father of the twelve tribes of Israel, but he did not lead the Israelites out of Egypt",Old Testament Characters,checked 03-06-2023
19758,Who was the youngest son of Jacob in the Old Testament?,medium,Joseph,Benjamin,Issachar,Dan,2,Joseph was the eleventh son of Jacob and the first son of Jacob's favorite wife Rachel. He was sold into slavery by his jealous brothers and eventually became a powerful ruler in Egypt.,"Benjamin was the twelfth and youngest son of Jacob and the only son to be born in the land of Canaan, before the family moved to Egypt.","Issachar was the ninth son of Jacob and the fifth son of Leah, Jacob's first wife.",Dan was the fifth son of Jacob and the first son of Rachel's servant Bilhah.,Old Testament Characters,checked 03-06-2023
19759,Who was Noah's son that got cursed by him after he saw his father's nakedness?,medium,Ham,Shem,Japheth,Cainan,1,"After the flood, Ham saw his father's nakedness and told his brothers, Shem and Japheth. They took a garment and walked backward and covered their father.",Shem was Noah's eldest son and the ancestor of the Semitic people.,Japheth was the second son of Noah and the ancestor of the Japhetic people.,Cainan was the son of Enos and the grandson of Seth according to the genealogy in the Book of Genesis.,Old Testament Characters,checked 03-06-2023
19760,Who was the first king of Israel?,medium,Saul,David,Solomon,Samuel,1,Saul was chosen as the first king of Israel by Samuel the prophet.,"David was the second king of Israel, chosen after Saul's death.",Solomon was David's son and the third king of Israel.,"Samuel was a prophet who anointed both Saul and David as kings, but he himself was not a king.",Old Testament Characters,checked 03-06-2023
19761,Who was the mother of Samuel?,medium,Rebecca,Hannah,Leah,Sarai,2,Rebecca was the wife of Isaac.,Hannah was the mother of Samuel.,Leah was the first wife of Jacob.,Sarai was the wife of Abraham.,Old Testament Characters,checked 03-06-2023
19762,"Which Old Testament character was born to Barak, a judge, and his wife Deborah, a prophetess?",medium,Samson,Gideon,Jephthah,Ehud,2,Samson was born to Manoah and his wife in the tribe of Dan.,"Gideon was born to Joash, an Abiezrite, in the tribe of Manasseh.",Jephthah was the son of Gilead and a harlot.,Ehud was a left-handed judge who assassinated King Eglon.,Old Testament Characters,checked 03-06-2023
19763,Who is known as the father of many nations?,medium,Adam,Noah,Abraham,Isaac,3,Adam is known as the first man created by God.,Noah is known for building the ark that saved him and his family from the flood.,Abraham is known as the father of many nations because God promised to make his descendants into a great nation.,"Isaac is Abraham's son, who was born to him and his wife Sarah when they were very old.",Old Testament Characters,checked 03-06-2023
19764,Which Old Testament character was deceived by their brother into selling their birthright for a bowl of stew?,medium,David,Jacob,Isaac,Samuel,2,David was a shepherd and later became the king of Israel.,Jacob was the son of Isaac and the father of the twelve tribes of Israel. He was tricked by his brother Esau into selling his birthright for a bowl of stew.,Isaac was the son of Abraham and the father of Jacob.,"Samuel was a prophet and the last judge of Israel, anointing the first two kings of Israel, Saul and David.",Old Testament Characters,checked 03-06-2023
19765,Who was the first prophet in the Old Testament?,medium,Isaiah,Elijah,Moses,Samuel,4,Isaiah was a prophet who lived during the time of the Assyrian empire and predicted its downfall.,Elijah was a prophet who lived in the northern kingdom of Israel and is known for his showdown with the prophets of Baal.,Moses was a prophet who led the Israelites out of Egypt and received the Ten Commandments on Mount Sinai.,Samuel was a prophet who anointed Saul as the first king of Israel and later David as his successor.,Old Testament Characters,checked 03-06-2023
19766,"Who was David's closest and most loyal friend, who famously said, 'Your people shall be my people, and your God, my God'?",medium,Saul,Jonathan,Absalom,Simeon,2,"Saul was the first king of Israel, but he fell out of favor with God and was eventually replaced by David.",Jonathan was the son of King Saul and David's close friend and ally.,Absalom was David's rebellious son who tried to overthrow him and take the throne for himself.,"Simeon was one of the 12 sons of Jacob, and his descendants became one of the tribes of Israel.",Old Testament Characters,checked 03-06-2023
19767,Who was the first high priest of Israel?,medium,Aaron,Eli,Abiathar,Zadok,1,Aaron was the older brother of Moses and was appointed by God as the first high priest of Israel.,Eli was a high priest of Israel during the time of Samuel the prophet.,Abiathar was a high priest during the reign of King David.,Zadok was a high priest during the reigns of David and Solomon.,Old Testament Characters,checked 03-06-2023
19768,Who led the Israelites out of slavery in Egypt?,medium,David,Samson,Moses,Solomon,3,David was the second king of Israel.,Samson was a judge of Israel known for his strength.,Moses led the Israelites out of slavery in Egypt and received the Ten Commandments from God on Mount Sinai.,Solomon was the son of King David and known for his wisdom.,Old Testament Characters,checked 03-06-2023
19769,Which New Testament character was known as the 'doubting disciple' and refused to believe in Jesus' resurrection until he saw Jesus' wounds firsthand?,medium,Matthew,John,Thomas,Peter,3,"Incorrect. Although Matthew was one of Jesus' disciples, he is not the character being described in this question.","Incorrect. Although John was one of Jesus' disciples, he is not the character being described in this question.",Correct! Thomas was one of Jesus' disciples and became known as the 'doubting disciple' because he initially refused to believe in Jesus' resurrection until he saw Jesus' wounds firsthand.,"Incorrect. Although Peter was one of Jesus' disciples, he is not the character being described in this question.",New Testament Characters,checked 03-06-2023
19770,Who was the disciple that betrayed Jesus to the authorities? ,medium,Judas Iscariot,Philip,Thomas,Andrew,1,Judas Iscariot betrayed Jesus for thirty pieces of silver.,"Philip was one of the twelve disciples, but he did not betray Jesus. ","Thomas was one of the twelve disciples, but he did not betray Jesus. ","Andrew was one of the twelve disciples, but he did not betray Jesus. ",New Testament Characters,checked 03-06-2023
19771,Which New Testament character was a tax collector before becoming a disciple of Jesus?,medium,Peter,Paul,Matthew,John,3,Peter was a fisherman; he was not a tax collector.,Paul was a Pharisee before his conversion; he was not a tax collector.,"Matthew, also known as Levi, was a tax collector before he became a disciple of Jesus",John was a fisherman; he was not a tax collector.,New Testament Characters,checked 03-06-2023
19772,What was the occupation of Matthew before becoming one of the 12 apostles?,medium,Tax collector,Fisherman,Carpenter,Tentmaker,1,Matthew was a tax collector before becoming an apostle.,"Fishing was the primary occupation of many of the apostles, but not Matthew.",There is no biblical record that suggests that Matthew was a carpenter.,"Tentmaking was the occupation of the apostle Paul, not Matthew.",New Testament Characters,checked 03-06-2023
19773,Who was known as the 'doubting' disciple in the New Testament?,medium,Matthew,Mark,Luke,Thomas,4,Matthew was not the doubting disciple.,Mark was not the doubting disciple.,Luke was not the doubting disciple.,Thomas was known as the 'doubting' disciple because he did not believe that Jesus had risen from the dead until he saw him and touched his wounds.,New Testament Characters,checked 03-06-2023
19774,Who was the tax collector that became one of Jesus' twelve apostles?,medium,Simon the Zealot,Judas Iscariot,Matthew,James the Less,3,Simon the Zealot was a former political revolutionary,Judas Iscariot betrayed Jesus,Matthew was a tax collector before he became a disciple,James the Less was one of the twelve apostles but was not a tax collector,New Testament Characters,checked 03-06-2023
19775,Who was the apostle known as the 'doubter' because he initially didn't believe in Jesus' resurrection?,medium,Matthew,John,Thomas,Peter,3,"Matthew was one of the 12 apostles, sometimes referred to as Levi. He is the author of the Gospel of Matthew.",John was the author of the Gospel of John and the Revelation.,Thomas was one of the 12 apostles and famously doubted that Jesus had been resurrected until he saw Jesus for himself.,Peter was a disciple of Jesus and later became the leader of the early Christian church.,New Testament Characters,checked 03-06-2023
